Iterations,1 Threads,2 Threads,3 Threads,4 Threads,5 Threads,6 Threads,7 Threads,8 Threads
10,1.0,0.6552176192973257,0.3122188905547226,0.1835340775558167,0.13745874587458745,0.09218680832226649,0.08803945745992602,0.053589809572825525
100,1.0,0.5545408422120752,0.24460109656484283,0.18664617486338797,0.11415143603133157,0.08492618492618494,0.07146126185027786,0.05080885087393083
1000,1.0,0.6167446697867915,0.28772440562833573,0.16947699342669337,0.11880791384923615,0.0767935767935768,0.0745232335291715,0.059718026183282966
10000,1.0,0.4912483487450462,0.2618607516943931,0.24116407263294423,0.13391852352014402,0.08908252485327585,0.06999341238471675,0.06384120171673821
100000,1.0,0.5509806170432389,0.31282151461874075,0.13768199014100654,0.09252250950936493,0.09254122360918478,0.06334555236161292,0.05228786625451696
1000000,1.0,0.6492806019722823,0.3818673719876914,0.19860907562420765,0.10482370806244959,0.0941148150041754,0.07097392958352879,0.05636917156622571
