Iterations,1 Threads,2 Threads,4 Threads,8 Threads,16 Threads,32 Threads
10,6.47e-05,7.9e-05,0.00010450000000000002,0.00017360000000000002,0.0003206,0.0006085
100,7.749999999999999e-05,9.68e-05,0.000115,0.0001865,0.0003106,0.0005314
1000,7.16e-05,9.809999999999999e-05,0.00011250000000000001,0.0001806,0.00033549999999999997,0.0006468000000000001
10000,8.840000000000002e-05,9.829999999999999e-05,0.0001252,0.00023270000000000002,0.0004842,0.0006152
100000,0.0003422,0.00035140000000000003,0.0003706,0.0005277000000000001,0.0011513,0.0018773000000000001
1000000,0.0026855,0.002778,0.0027479,0.0032485,0.008728000000000001,0.014854700000000002
