Iterations,1 Threads,2 Threads,4 Threads,8 Threads,16 Threads,32 Threads
10,1.0,0.4355371900826447,0.14920724801812005,0.03796829971181556,0.013238545016077168,0.0033616554398856915
100,1.0,0.3405898876404494,0.09577409162717221,0.022215097105166722,0.001833121673923561,0.00198017376535145
1000,1.0,0.32280147446024227,0.06800532504992234,0.014386969583176867,0.0025896448004325934,0.0007055319227298676
10000,1.0,0.09976169844020798,0.02011136586963642,0.003935561063156995,0.00100702401987369,0.00024021057156032024
100000,1.0,0.08272407256972651,0.014513357524789503,0.0028041469776496296,0.0006985706801636577,0.0001679663190008937
1000000,1.0,0.07958070909034312,0.013313378365893958,0.0024453726748275267,0.0006476720764013366,0.000157745087914251
