Iterations,1 Threads,2 Threads,3 Threads,4 Threads,5 Threads,6 Threads,7 Threads,8 Threads
10,0.00025929999999999996,0.00022439999999999998,0.0002867,0.00034159999999999995,0.0004399,0.00048600000000000005,0.0015582,0.0005035
100,0.00026769999999999995,0.00020179999999999997,0.0002793999999999999,0.00029110000000000003,0.00030659999999999997,0.00035850000000000004,0.00048400000000000006,0.0005548
1000,0.00032910000000000003,0.0002825,0.00039629999999999993,0.0006333,0.0007520999999999999,0.0009338,0.0011688000000000002,0.0014714
10000,0.0007583000000000001,0.0031380000000000006,0.0038918,0.0043449000000000005,0.006709,0.0089204,0.010905799999999998,0.0126139
100000,0.005754400000000001,0.026723100000000007,0.029529099999999996,0.036683900000000005,0.0481601,0.0558357,0.0518957,0.0626659
1000000,0.0407,0.11135009999999998,0.1417786,0.23829979999999998,0.28930779999999995,0.3371577,0.39214950000000004,0.4475996000000001
