Iterations,1 Threads,2 Threads,4 Threads,8 Threads,16 Threads,32 Threads
10,0.000208,0.0002791,0.0003255,0.0005463000000000001,0.0011814,0.0024676
100,0.0001884,0.00025049999999999996,0.0003313,0.0007346999999999999,0.0012314999999999997,0.0028341
1000,0.0002559,0.0003084,0.0005175,0.0012309999999999999,0.0020777000000000005,0.0038448999999999996
10000,0.0005304000000000001,0.0021264,0.0062184,0.012507299999999999,0.0266571,0.0543798
100000,0.0029927,0.026026499999999998,0.06508390000000001,0.1371943,0.2861329,0.5715356
1000000,0.020770300000000002,0.29844550000000003,0.7270563,1.4491053999999999,2.9226421000000005,5.8891827999999995
