Iterations,1 Threads,2 Threads,4 Threads,8 Threads,16 Threads,32 Threads
10,1.0,0.33800841514726504,0.13027027027027027,0.01450060168471721,0.012448347107438017,0.003318462216347213
100,1.0,0.39705882352941185,0.14274924471299094,0.046172638436482075,0.014802631578947368,0.004078901933701657
1000,1.0,0.3692307692307692,0.12644889357218123,0.04451038575667656,0.008282716731087795,0.0024954250540675424
10000,1.0,0.38398544131028206,0.15071428571428572,0.045730385782401385,0.014523678414096915,0.00415616136148755
100000,1.0,0.4968450572563683,0.24286040667123598,0.09670669577874819,0.021504288719857583,0.0065588133668986635
1000000,1.0,0.5021339905623516,0.24926145858200052,0.08149035178428579,0.024631845578608418,0.007373099627869537
