Iterations,1 Threads,2 Threads,3 Threads,4 Threads,5 Threads,6 Threads,7 Threads,8 Threads
10,0.00021349999999999999,0.00023539999999999998,0.0002887,0.0003336,0.0003455,0.00042940000000000003,0.00043299999999999995,0.0004955
100,0.00023830000000000002,0.0001968,0.00029489999999999996,0.0003131,0.0003678,0.00042299999999999993,0.0004333999999999999,0.0005378
1000,0.0002565,0.00021510000000000002,0.00029319999999999997,0.0002625,0.00041870000000000004,0.0004606,0.0003928,0.0006561
10000,0.0003007,0.00025289999999999997,0.0003569,0.00047750000000000006,0.0004544000000000001,0.00048659999999999996,0.0005893,0.000626
100000,0.0008167000000000001,0.0008475,0.0011654999999999999,0.0012480999999999998,0.0018171999999999997,0.0016298,0.0017535000000000003,0.001748
1000000,0.007165800000000002,0.0060268,0.0063488,0.0097445,0.009262000000000003,0.012663299999999997,0.0156393,0.015118700000000002
