Size,Time
128,9.290000000000001e-05
256,0.00030250000000000003
512,0.0016271
1024,0.0038991000000000004
2048,0.0118655
4096,0.0478233
8192,0.19108719999999998
16384,0.7666696
32768,3.0637002000000004
