Iterations,1_threads,2_threads,3_threads,4_threads,8_threads
2500,0.7561009000000001,0.4551349,0.3599287666666666,0.28589752500000004,0.013387599999999996
5000,0.8830210000000001,0.6201436,0.5116230333333334,0.42008545,0.030812249999999996
10000,0.9677499,0.7712576999999999,0.6676546333333333,0.5833812,0.06993056250000002
20000,1.21891,1.05027025,0.9585333333333332,0.8613949499999999,0.12668597500000003
40000,1.2353106999999999,1.1294888,1.0587296666666668,0.9791111249999999,0.19678362500000005
