Iterations,1_threads,2_threads,3_threads,4_threads,8_threads
2500,0.849053,1.339267,1.46195,1.475408,1.65737
5000,0.903219,1.559653,2.007169,2.216592,2.23804
10000,0.963086,1.783404,2.446485,2.924413,2.66156
20000,1.165419,2.206516,3.093414,3.833756,4.206497
40000,1.206224,1.959802,2.556366,3.047815,3.632516
