Iterations,1_threads,2_threads,3_threads,4_threads,8_threads
2500,0.750829,0.460627,0.35758,0.284936,0.01732425
5000,0.883035,0.623546,0.513605,0.419756,0.027858125
10000,0.968236,0.7664815,0.667239,0.5821495,0.07249825
20000,1.200421,1.0502395,0.9553280000000001,0.85710025,0.11500975
40000,1.237921,1.128006,1.061877,0.9938795,0.183218625
