Iterations,1_threads,2_threads,3_threads,4_threads,8_threads
2500,0.743651,0.907675,1.086072,1.144485,0.115651
5000,0.882505,1.247807,1.528275,1.702465,0.179948
10000,0.954775,1.536596,2.010619,2.327622,0.620996
20000,1.200004,2.091785,2.861683,3.438493,1.003916
40000,1.276108,2.251679,3.17167,3.947268,1.506165
