Iterations,1 Threads,2 Threads,4 Threads,8 Threads,16 Threads,32 Threads
10,0.0002624,0.0002495,0.0003542,0.0004933,0.0010799999999999998,0.0016673
100,0.00020650000000000003,0.00022859999999999997,0.00026569999999999995,0.0004116,0.0011152,0.0018210999999999998
1000,0.0002371,0.00024390000000000002,0.00032,0.0005082999999999999,0.0009538,0.0020582000000000005
10000,0.0003153,0.0003533,0.0005541,0.0007288000000000002,0.0015804999999999999,0.0025297
100000,0.0011718999999999998,0.0023705,0.0039005999999999997,0.005587999999999999,0.010644700000000002,0.0183877
1000000,0.006229800000000001,0.0212648,0.03523819999999999,0.044860300000000006,0.0526656,0.06613630000000001
