Iterations,1_threads,2_threads,3_threads,4_threads,8_threads
2500,0.899292,0.89191,1.10689,1.287391,1.362439
5000,0.890705,0.984966,1.167051,1.219794,1.285378
10000,0.896101,0.943637,0.964048,0.808089,2.080517
20000,0.731375,0.8236,0.917833,1.039446,1.684853
40000,0.731629,0.777527,0.926995,1.013963,1.474955
