Iterations,1 Threads,2 Threads,4 Threads,8 Threads,16 Threads,32 Threads
10,1.0,0.4545889101338432,0.17559084194977842,0.05488227146814406,0.015228670253651039,0.004174568057311421
100,1.0,0.4879759519038076,0.1744269340974212,0.05444991055456172,0.01558499743983615,0.003955490578297596
1000,1.0,0.40469208211143687,0.11201298701298701,0.027659005879208977,0.006589838278364955,0.0020238560813453264
10000,1.0,0.12252071303037912,0.02204952105548527,0.0073469633555147415,0.0016591190349910926,0.0004211776403004861
100000,1.0,0.062435267086512945,0.01244500657310863,0.0036088823440360027,0.0008629751176193373,0.00021010958630145586
1000000,1.0,0.052869786920941304,0.010379364556808945,0.003249394370100209,0.0008093513048309481,0.00020121929220043484
